calle_nombre,calle_altura,comuna,total_arboles,maduros,medianos,jovenes,lat,long
Acha Mariano Gral.,1800,12,21,8,9,4,-34.575654,-58.474066
Acha Mariano Gral.,1900.0,12,22,5,10,7,-34.574821,-58.474826
Acha Mariano Gral.,2000,12,12,3,8,1,-34.574169,-58.475452
Acha Mariano Gral.,2000.0,12,7,2,2,3,-34.573789,-58.475788
Acha Mariano Gral.,2100,12,14,2,8,4,-34.572961,-58.476483
Acha Mariano Gral.,2100.0,12,4,1,0,3,-34.573154,-58.47624
Acha Mariano Gral.,2200,12,10,6,4,0,-34.572201,-58.477197
Acha Mariano Gral.,2200.0,12,9,6,2,1,-34.572136,-58.477145
Acha Mariano Gral.,2300,12,1,0,0,1,,
Acha Mariano Gral.,2300.0,12,17,3,10,4,-34.571182,-58.478036
Acha Mariano Gral.,2400,12,13,4,3,6,-34.570402,-58.478724
Acha Mariano Gral.,2400,14,4,1,3,0,-34.570478,-58.478724
Acha Mariano Gral.,2500,12,10,2,7,1,-34.569666,-58.479447
Acha Mariano Gral.,2500.0,12,10,6,3,1,-34.569567,-58.479419
Acha Mariano Gral.,2600,12,5,0,2,3,-34.568486,-58.480489
Acha Mariano Gral.,2700,12,9,1,1,7,-34.56764,-58.48118
Acha Mariano Gral.,2700.0,12,22,5,9,8,-34.567693,-58.481134
Acha Mariano Gral.,2800,12,26,2,14,10,-34.566662,-58.482042
Acha Mariano Gral.,2800.0,12,2,0,1,1,-34.566924,-58.481874
Acha Mariano Gral.,2900.0,12,12,2,3,7,-34.566075,-58.482574
Acha Mariano Gral.,3000.0,12,28,5,13,10,-34.56546,-58.483138
Acha Mariano Gral.,3009.0,12,1,0,1,0,-34.56521,-58.483319
Acha Mariano Gral.,3100.0,12,11,4,3,4,-34.564435,-58.48414
Acha Mariano Gral.,3200.0,12,25,10,11,4,-34.563937,-58.484557
Acha Mariano Gral.,3300.0,12,14,3,9,2,-34.562664,-58.485778
Acha Mariano Gral.,3350.0,12,5,2,2,1,-34.562428,-58.485933
Acha Mariano Gral.,3400.0,12,27,4,17,6,-34.561442,-58.486739
Acha Mariano Gral.,3500,12,19,3,2,14,-34.560206,-58.487662
